engine_id,max_cycle,total_rul,final_health,min_health,mean_health,primary_regime,failure_stage
1,192,191,0.4516,0.4334,0.5057557291666667,mid_hi,Critical
2,287,286,0.4761,0.4277,0.5157351916376306,mid_hi,Critical
3,179,178,0.4588,0.4448,0.5135396648044692,mid_lo,Critical
4,189,188,0.4967,0.4376,0.5090809523809524,mid_hi,Critical
5,269,268,0.4614,0.4473,0.5155449814126394,mid_lo,Critical
6,188,187,0.4417,0.4269,0.4925760638297872,mid_lo,Critical
7,259,258,0.4475,0.4117,0.5101378378378378,mid_lo,Critical
8,150,149,0.4182,0.4093,0.48929266666666665,mid_lo,Critical
9,201,200,0.4648,0.4385,0.5218646766169155,mid_lo,Critical
10,222,221,0.4787,0.4394,0.5155373873873874,mid_hi,Critical
11,240,239,0.4476,0.441,0.5167545833333334,mid_lo,Critical
12,170,169,0.4666,0.4231,0.4923352941176471,mid_hi,Critical
13,163,162,0.4935,0.4335,0.5010251533742331,mid_lo,Critical
14,180,179,0.4474,0.4237,0.497275,mid_lo,Critical
15,207,206,0.4428,0.4416,0.5156792270531401,mid_lo,Critical
16,209,208,0.454,0.3979,0.4848885167464115,mid_lo,Critical
17,276,275,0.4837,0.4295,0.5168213768115941,mid_hi,Critical
18,195,194,0.4743,0.4389,0.5191066666666667,mid_lo,Critical
19,158,157,0.4239,0.4133,0.4935107594936709,mid_lo,Critical
20,234,233,0.4458,0.4354,0.4951940170940171,mid_lo,Critical
21,195,194,0.497,0.4423,0.5014794871794872,mid_lo,Critical
22,202,201,0.4718,0.4109,0.48700594059405944,mid_lo,Critical
23,168,167,0.4389,0.4236,0.4947386904761905,mid_hi,Critical
24,147,146,0.4717,0.4223,0.5087408163265306,mid_lo,Critical
25,230,229,0.4908,0.4378,0.5001530434782608,mid_lo,Critical
26,199,198,0.4364,0.4364,0.4972185929648241,mid_lo,Critical
27,156,155,0.4762,0.4431,0.5019173076923077,mid_lo,Critical
28,165,164,0.4567,0.4217,0.5158284848484849,mid_lo,Critical
29,163,162,0.4342,0.4291,0.5020226993865031,mid_lo,Critical
30,194,193,0.4651,0.4075,0.5166386597938145,mid_lo,Critical
31,234,233,0.4644,0.4357,0.5157576923076923,mid_lo,Critical
32,191,190,0.434,0.4286,0.49092303664921466,mid_lo,Critical
33,200,199,0.4666,0.4107,0.5186875,mid_lo,Critical
34,195,194,0.4531,0.4301,0.5007199999999999,mid_hi,Critical
35,181,180,0.4579,0.4252,0.5007436464088398,mid_lo,Critical
36,158,157,0.4354,0.4189,0.4957063291139241,mid_lo,Critical
37,170,169,0.4287,0.4284,0.4944341176470588,mid_lo,Critical
38,194,193,0.4269,0.4269,0.49807577319587626,mid_lo,Critical
39,128,127,0.4352,0.3953,0.49401328125,mid_hi,Critical
40,188,187,0.5094,0.4383,0.4891654255319149,mid_lo,Critical
41,216,215,0.4728,0.4223,0.5104050925925926,mid_lo,Critical
42,196,195,0.4366,0.4037,0.502655612244898,mid_lo,Critical
43,207,206,0.47,0.4097,0.5108057971014492,mid_lo,Critical
44,192,191,0.4638,0.4217,0.5096421875,mid_lo,Critical
45,158,157,0.4168,0.4168,0.5110898734177215,mid_lo,Critical
